"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US01003","Baldwin County, Alabama","0.4630","0.0232"
"0500000US01015","Calhoun County, Alabama","0.4572","0.0301"
"0500000US01043","Cullman County, Alabama","0.3961","0.0253"
"0500000US01049","DeKalb County, Alabama","0.4459","0.0461"
"0500000US01051","Elmore County, Alabama","0.4468","0.0378"
"0500000US01055","Etowah County, Alabama","0.5008","0.0465"
"0500000US01069","Houston County, Alabama","0.4903","0.0198"
"0500000US01073","Jefferson County, Alabama","0.5041","0.0112"
"0500000US01077","Lauderdale County, Alabama","0.4522","0.0276"
"0500000US01081","Lee County, Alabama","0.5248","0.0339"
"0500000US01083","Limestone County, Alabama","0.4445","0.0284"
"0500000US01089","Madison County, Alabama","0.4534","0.0127"
"0500000US01095","Marshall County, Alabama","0.4465","0.0239"
"0500000US01097","Mobile County, Alabama","0.4585","0.0137"
"0500000US01101","Montgomery County, Alabama","0.4609","0.0207"
"0500000US01103","Morgan County, Alabama","0.4578","0.0232"
"0500000US01115","St. Clair County, Alabama","0.3877","0.0399"
"0500000US01117","Shelby County, Alabama","0.4527","0.0240"
"0500000US01121","Talladega County, Alabama","0.4577","0.0277"
"0500000US01125","Tuscaloosa County, Alabama","0.4823","0.0191"
"0500000US01127","Walker County, Alabama","0.4379","0.0290"
"0500000US02020","Anchorage Municipality, Alaska","0.4426","0.0229"
"0500000US02090","Fairbanks North Star Borough, Alaska","0.4348","0.0307"
"0500000US02170","Matanuska-Susitna Borough, Alaska","0.4125","0.0171"
"0500000US04001","Apache County, Arizona","0.5070","0.0301"
"0500000US04003","Cochise County, Arizona","0.4423","0.0259"
"0500000US04005","Coconino County, Arizona","0.4826","0.0408"
"0500000US04013","Maricopa County, Arizona","0.4542","0.0052"
"0500000US04015","Mohave County, Arizona","0.4214","0.0289"
"0500000US04017","Navajo County, Arizona","0.4509","0.0211"
"0500000US04019","Pima County, Arizona","0.4684","0.0092"
"0500000US04021","Pinal County, Arizona","0.4128","0.0220"
"0500000US04025","Yavapai County, Arizona","0.4447","0.0168"
"0500000US04027","Yuma County, Arizona","0.4531","0.0290"
"0500000US05007","Benton County, Arkansas","0.4645","0.0186"
"0500000US05031","Craighead County, Arkansas","0.4797","0.0418"
"0500000US05045","Faulkner County, Arkansas","0.4774","0.0508"
"0500000US05051","Garland County, Arkansas","0.4697","0.0355"
"0500000US05069","Jefferson County, Arkansas","0.4748","0.0351"
"0500000US05085","Lonoke County, Arkansas","0.4108","0.0291"
"0500000US05119","Pulaski County, Arkansas","0.5020","0.0176"
"0500000US05125","Saline County, Arkansas","0.3870","0.0244"
"0500000US05131","Sebastian County, Arkansas","0.4639","0.0296"
"0500000US05143","Washington County, Arkansas","0.4680","0.0208"
"0500000US05145","White County, Arkansas","0.4633","0.0322"
"0500000US06001","Alameda County, California","0.4621","0.0074"
"0500000US06007","Butte County, California","0.5208","0.0297"
"0500000US06013","Contra Costa County, California","0.4660","0.0112"
"0500000US06017","El Dorado County, California","0.4805","0.0278"
"0500000US06019","Fresno County, California","0.4669","0.0108"
"0500000US06023","Humboldt County, California","0.5115","0.0351"
"0500000US06025","Imperial County, California","0.4579","0.0271"
"0500000US06029","Kern County, California","0.4737","0.0163"
"0500000US06031","Kings County, California","0.4142","0.0206"
"0500000US06033","Lake County, California","0.4762","0.0577"
"0500000US06037","Los Angeles County, California","0.4940","0.0041"
"0500000US06039","Madera County, California","0.4464","0.0361"
"0500000US06041","Marin County, California","0.5322","0.0214"
"0500000US06045","Mendocino County, California","0.4603","0.0305"
"0500000US06047","Merced County, California","0.4402","0.0349"
"0500000US06053","Monterey County, California","0.4490","0.0156"
"0500000US06055","Napa County, California","0.4673","0.0218"
"0500000US06057","Nevada County, California","0.4716","0.0253"
"0500000US06059","Orange County, California","0.4598","0.0053"
"0500000US06061","Placer County, California","0.4375","0.0135"
"0500000US06065","Riverside County, California","0.4513","0.0087"
"0500000US06067","Sacramento County, California","0.4435","0.0076"
"0500000US06071","San Bernardino County, California","0.4336","0.0082"
"0500000US06073","San Diego County, California","0.4633","0.0070"
"0500000US06075","San Francisco County, California","0.5043","0.0117"
"0500000US06077","San Joaquin County, California","0.4504","0.0128"
"0500000US06079","San Luis Obispo County, California","0.4465","0.0185"
"0500000US06081","San Mateo County, California","0.4873","0.0115"
"0500000US06083","Santa Barbara County, California","0.4975","0.0161"
"0500000US06085","Santa Clara County, California","0.4718","0.0065"
"0500000US06087","Santa Cruz County, California","0.4837","0.0209"
"0500000US06089","Shasta County, California","0.4553","0.0177"
"0500000US06095","Solano County, California","0.4142","0.0131"
"0500000US06097","Sonoma County, California","0.4455","0.0163"
"0500000US06099","Stanislaus County, California","0.4223","0.0151"
"0500000US06101","Sutter County, California","0.4629","0.0345"
"0500000US06103","Tehama County, California","0.4583","0.0306"
"0500000US06107","Tulare County, California","0.4405","0.0204"
"0500000US06111","Ventura County, California","0.4392","0.0101"
"0500000US06113","Yolo County, California","0.5087","0.0234"
"0500000US06115","Yuba County, California","0.4516","0.0374"
"0500000US08001","Adams County, Colorado","0.4025","0.0136"
"0500000US08005","Arapahoe County, Colorado","0.4393","0.0127"
"0500000US08013","Boulder County, Colorado","0.4962","0.0268"
"0500000US08014","Broomfield County, Colorado","0.4114","0.0487"
"0500000US08031","Denver County, Colorado","0.4813","0.0112"
"0500000US08035","Douglas County, Colorado","0.3995","0.0173"
"0500000US08041","El Paso County, Colorado","0.4292","0.0123"
"0500000US08059","Jefferson County, Colorado","0.4322","0.0122"
"0500000US08069","Larimer County, Colorado","0.4477","0.0169"
"0500000US08077","Mesa County, Colorado","0.4382","0.0228"
"0500000US08101","Pueblo County, Colorado","0.4459","0.0256"
"0500000US08123","Weld County, Colorado","0.4086","0.0174"
"0500000US09001","Fairfield County, Connecticut","0.5409","0.0087"
"0500000US09003","Hartford County, Connecticut","0.4755","0.0139"
"0500000US09005","Litchfield County, Connecticut","0.4631","0.0233"
"0500000US09007","Middlesex County, Connecticut","0.4497","0.0216"
"0500000US09009","New Haven County, Connecticut","0.4804","0.0116"
"0500000US09011","New London County, Connecticut","0.4374","0.0155"
"0500000US09013","Tolland County, Connecticut","0.4605","0.0359"
"0500000US09015","Windham County, Connecticut","0.4453","0.0235"
"0500000US10001","Kent County, Delaware","0.4159","0.0243"
"0500000US10003","New Castle County, Delaware","0.4470","0.0164"
"0500000US10005","Sussex County, Delaware","0.4621","0.0190"
"0500000US11001","District of Columbia, District of Columbia","0.5115","0.0099"
"0500000US12001","Alachua County, Florida","0.5034","0.0212"
"0500000US12005","Bay County, Florida","0.4229","0.0228"
"0500000US12009","Brevard County, Florida","0.4391","0.0123"
"0500000US12011","Broward County, Florida","0.4891","0.0087"
"0500000US12015","Charlotte County, Florida","0.4646","0.0228"
"0500000US12017","Citrus County, Florida","0.4534","0.0257"
"0500000US12019","Clay County, Florida","0.3877","0.0270"
"0500000US12021","Collier County, Florida","0.5380","0.0163"
"0500000US12023","Columbia County, Florida","0.4516","0.0270"
"0500000US12031","Duval County, Florida","0.4653","0.0122"
"0500000US12033","Escambia County, Florida","0.4679","0.0217"
"0500000US12035","Flagler County, Florida","0.4408","0.0266"
"0500000US12053","Hernando County, Florida","0.4112","0.0163"
"0500000US12055","Highlands County, Florida","0.4630","0.0387"
"0500000US12057","Hillsborough County, Florida","0.4729","0.0076"
"0500000US12061","Indian River County, Florida","0.5008","0.0309"
"0500000US12069","Lake County, Florida","0.4249","0.0197"
"0500000US12071","Lee County, Florida","0.4709","0.0125"
"0500000US12073","Leon County, Florida","0.4878","0.0171"
"0500000US12081","Manatee County, Florida","0.4705","0.0176"
"0500000US12083","Marion County, Florida","0.4436","0.0231"
"0500000US12085","Martin County, Florida","0.5262","0.0343"
"0500000US12086","Miami-Dade County, Florida","0.5151","0.0090"
"0500000US12087","Monroe County, Florida","0.5067","0.0309"
"0500000US12089","Nassau County, Florida","0.4074","0.0228"
"0500000US12091","Okaloosa County, Florida","0.4334","0.0263"
"0500000US12095","Orange County, Florida","0.4687","0.0132"
"0500000US12097","Osceola County, Florida","0.4311","0.0212"
"0500000US12099","Palm Beach County, Florida","0.5117","0.0093"
"0500000US12101","Pasco County, Florida","0.4448","0.0135"
"0500000US12103","Pinellas County, Florida","0.4838","0.0108"
"0500000US12105","Polk County, Florida","0.4462","0.0137"
"0500000US12107","Putnam County, Florida","0.4251","0.0377"
"0500000US12109","St. Johns County, Florida","0.4553","0.0187"
"0500000US12111","St. Lucie County, Florida","0.4219","0.0233"
"0500000US12113","Santa Rosa County, Florida","0.4478","0.0251"
"0500000US12115","Sarasota County, Florida","0.4695","0.0173"
"0500000US12117","Seminole County, Florida","0.4521","0.0163"
"0500000US12119","Sumter County, Florida","0.4619","0.0434"
"0500000US12127","Volusia County, Florida","0.4510","0.0147"
"0500000US12131","Walton County, Florida","0.4424","0.0335"
"0500000US13013","Barrow County, Georgia","0.3773","0.0305"
"0500000US13015","Bartow County, Georgia","0.4456","0.0330"
"0500000US13021","Bibb County, Georgia","0.5203","0.0280"
"0500000US13031","Bulloch County, Georgia","0.4256","0.0424"
"0500000US13045","Carroll County, Georgia","0.4048","0.0289"
"0500000US13047","Catoosa County, Georgia","0.4003","0.0353"
"0500000US13051","Chatham County, Georgia","0.4872","0.0233"
"0500000US13057","Cherokee County, Georgia","0.3998","0.0251"
"0500000US13059","Clarke County, Georgia","0.5403","0.0364"
"0500000US13063","Clayton County, Georgia","0.3946","0.0174"
"0500000US13067","Cobb County, Georgia","0.4513","0.0119"
"0500000US13073","Columbia County, Georgia","0.3992","0.0361"
"0500000US13077","Coweta County, Georgia","0.4055","0.0233"
"0500000US13089","DeKalb County, Georgia","0.4927","0.0118"
"0500000US13095","Dougherty County, Georgia","0.5144","0.0393"
"0500000US13097","Douglas County, Georgia","0.4219","0.0278"
"0500000US13113","Fayette County, Georgia","0.4395","0.0282"
"0500000US13115","Floyd County, Georgia","0.4652","0.0353"
"0500000US13117","Forsyth County, Georgia","0.3939","0.0170"
"0500000US13121","Fulton County, Georgia","0.5341","0.0122"
"0500000US13127","Glynn County, Georgia","0.4831","0.0348"
"0500000US13135","Gwinnett County, Georgia","0.4191","0.0147"
"0500000US13139","Hall County, Georgia","0.4761","0.0303"
"0500000US13151","Henry County, Georgia","0.3915","0.0224"
"0500000US13153","Houston County, Georgia","0.4130","0.0240"
"0500000US13157","Jackson County, Georgia","0.4659","0.0434"
"0500000US13185","Lowndes County, Georgia","0.4618","0.0325"
"0500000US13215","Muscogee County, Georgia","0.5213","0.0323"
"0500000US13217","Newton County, Georgia","0.4280","0.0382"
"0500000US13223","Paulding County, Georgia","0.3543","0.0254"
"0500000US13245","Richmond County, Georgia","0.4550","0.0220"
"0500000US13247","Rockdale County, Georgia","0.4303","0.0372"
"0500000US13255","Spalding County, Georgia","0.4582","0.0400"
"0500000US13285","Troup County, Georgia","0.4836","0.0396"
"0500000US13295","Walker County, Georgia","0.4179","0.0323"
"0500000US13297","Walton County, Georgia","0.4040","0.0254"
"0500000US13313","Whitfield County, Georgia","0.4602","0.0441"
"0500000US15001","Hawaii County, Hawaii","0.4623","0.0259"
"0500000US15003","Honolulu County, Hawaii","0.4349","0.0087"
"0500000US15007","Kauai County, Hawaii","0.4163","0.0329"
"0500000US15009","Maui County, Hawaii","0.4333","0.0261"
"0500000US16001","Ada County, Idaho","0.4411","0.0176"
"0500000US16005","Bannock County, Idaho","0.4208","0.0214"
"0500000US16019","Bonneville County, Idaho","0.4540","0.0299"
"0500000US16027","Canyon County, Idaho","0.3954","0.0240"
"0500000US16055","Kootenai County, Idaho","0.3897","0.0212"
"0500000US16083","Twin Falls County, Idaho","0.4365","0.0470"
"0500000US17001","Adams County, Illinois","0.4054","0.0361"
"0500000US17019","Champaign County, Illinois","0.4845","0.0186"
"0500000US17031","Cook County, Illinois","0.5074","0.0062"
"0500000US17037","DeKalb County, Illinois","0.4383","0.0220"
"0500000US17043","DuPage County, Illinois","0.4483","0.0078"
"0500000US17089","Kane County, Illinois","0.4399","0.0152"
"0500000US17091","Kankakee County, Illinois","0.3997","0.0197"
"0500000US17093","Kendall County, Illinois","0.3288","0.0360"
"0500000US17097","Lake County, Illinois","0.4773","0.0097"
"0500000US17099","LaSalle County, Illinois","0.4215","0.0186"
"0500000US17111","McHenry County, Illinois","0.3961","0.0164"
"0500000US17113","McLean County, Illinois","0.4780","0.0261"
"0500000US17115","Macon County, Illinois","0.4834","0.0267"
"0500000US17119","Madison County, Illinois","0.4452","0.0200"
"0500000US17143","Peoria County, Illinois","0.4975","0.0264"
"0500000US17161","Rock Island County, Illinois","0.4196","0.0224"
"0500000US17163","St. Clair County, Illinois","0.4625","0.0195"
"0500000US17167","Sangamon County, Illinois","0.4489","0.0236"
"0500000US17179","Tazewell County, Illinois","0.4000","0.0188"
"0500000US17183","Vermilion County, Illinois","0.4424","0.0321"
"0500000US17197","Will County, Illinois","0.4044","0.0106"
"0500000US17199","Williamson County, Illinois","0.4388","0.0354"
"0500000US17201","Winnebago County, Illinois","0.4385","0.0181"
"0500000US18003","Allen County, Indiana","0.4437","0.0222"
"0500000US18005","Bartholomew County, Indiana","0.4289","0.0328"
"0500000US18011","Boone County, Indiana","0.5494","0.0481"
"0500000US18019","Clark County, Indiana","0.4190","0.0445"
"0500000US18035","Delaware County, Indiana","0.4669","0.0320"
"0500000US18039","Elkhart County, Indiana","0.4549","0.0213"
"0500000US18043","Floyd County, Indiana","0.4337","0.0290"
"0500000US18053","Grant County, Indiana","0.4264","0.0328"
"0500000US18057","Hamilton County, Indiana","0.4440","0.0215"
"0500000US18059","Hancock County, Indiana","0.4048","0.0370"
"0500000US18063","Hendricks County, Indiana","0.4113","0.0392"
"0500000US18067","Howard County, Indiana","0.3876","0.0235"
"0500000US18081","Johnson County, Indiana","0.4159","0.0386"
"0500000US18085","Kosciusko County, Indiana","0.4225","0.0423"
"0500000US18089","Lake County, Indiana","0.4628","0.0164"
"0500000US18091","LaPorte County, Indiana","0.4274","0.0225"
"0500000US18095","Madison County, Indiana","0.4055","0.0301"
"0500000US18097","Marion County, Indiana","0.4862","0.0137"
"0500000US18105","Monroe County, Indiana","0.4811","0.0265"
"0500000US18109","Morgan County, Indiana","0.4478","0.0376"
"0500000US18127","Porter County, Indiana","0.4238","0.0296"
"0500000US18141","St. Joseph County, Indiana","0.4798","0.0221"
"0500000US18157","Tippecanoe County, Indiana","0.4847","0.0295"
"0500000US18163","Vanderburgh County, Indiana","0.4787","0.0307"
"0500000US18167","Vigo County, Indiana","0.4919","0.0357"
"0500000US18177","Wayne County, Indiana","0.4148","0.0344"
"0500000US19013","Black Hawk County, Iowa","0.4700","0.0324"
"0500000US19049","Dallas County, Iowa","0.4085","0.0269"
"0500000US19061","Dubuque County, Iowa","0.4407","0.0304"
"0500000US19103","Johnson County, Iowa","0.5269","0.0284"
"0500000US19113","Linn County, Iowa","0.4260","0.0169"
"0500000US19153","Polk County, Iowa","0.4347","0.0138"
"0500000US19155","Pottawattamie County, Iowa","0.4156","0.0212"
"0500000US19163","Scott County, Iowa","0.4709","0.0296"
"0500000US19169","Story County, Iowa","0.4682","0.0355"
"0500000US19193","Woodbury County, Iowa","0.4076","0.0216"
"0500000US20015","Butler County, Kansas","0.4431","0.0401"
"0500000US20045","Douglas County, Kansas","0.4562","0.0233"
"0500000US20091","Johnson County, Kansas","0.4328","0.0126"
"0500000US20103","Leavenworth County, Kansas","0.3925","0.0233"
"0500000US20161","Riley County, Kansas","0.4633","0.0473"
"0500000US20173","Sedgwick County, Kansas","0.4466","0.0127"
"0500000US20177","Shawnee County, Kansas","0.4423","0.0309"
"0500000US20209","Wyandotte County, Kansas","0.4238","0.0174"
"0500000US21015","Boone County, Kentucky","0.4134","0.0270"
"0500000US21029","Bullitt County, Kentucky","0.3841","0.0327"
"0500000US21037","Campbell County, Kentucky","0.4767","0.0318"
"0500000US21047","Christian County, Kentucky","0.4695","0.0408"
"0500000US21059","Daviess County, Kentucky","0.4816","0.0400"
"0500000US21067","Fayette County, Kentucky","0.4818","0.0166"
"0500000US21093","Hardin County, Kentucky","0.4142","0.0320"
"0500000US21111","Jefferson County, Kentucky","0.4740","0.0132"
"0500000US21117","Kenton County, Kentucky","0.4431","0.0258"
"0500000US21145","McCracken County, Kentucky","0.5079","0.0544"
"0500000US21151","Madison County, Kentucky","0.4917","0.0444"
"0500000US21185","Oldham County, Kentucky","0.4501","0.0360"
"0500000US21227","Warren County, Kentucky","0.4800","0.0416"
"0500000US22005","Ascension Parish, Louisiana","0.4337","0.0481"
"0500000US22015","Bossier Parish, Louisiana","0.4678","0.0322"
"0500000US22017","Caddo Parish, Louisiana","0.5441","0.0344"
"0500000US22019","Calcasieu Parish, Louisiana","0.5113","0.0340"
"0500000US22033","East Baton Rouge Parish, Louisiana","0.5073","0.0156"
"0500000US22045","Iberia Parish, Louisiana","0.4603","0.0455"
"0500000US22051","Jefferson Parish, Louisiana","0.4522","0.0142"
"0500000US22055","Lafayette Parish, Louisiana","0.4948","0.0274"
"0500000US22057","Lafourche Parish, Louisiana","0.4560","0.0345"
"0500000US22063","Livingston Parish, Louisiana","0.4209","0.0408"
"0500000US22071","Orleans Parish, Louisiana","0.5781","0.0121"
"0500000US22073","Ouachita Parish, Louisiana","0.5370","0.0378"
"0500000US22079","Rapides Parish, Louisiana","0.4714","0.0319"
"0500000US22097","St. Landry Parish, Louisiana","0.4656","0.0324"
"0500000US22103","St. Tammany Parish, Louisiana","0.4457","0.0186"
"0500000US22105","Tangipahoa Parish, Louisiana","0.4626","0.0297"
"0500000US22109","Terrebonne Parish, Louisiana","0.5095","0.0603"
"0500000US23001","Androscoggin County, Maine","0.4090","0.0326"
"0500000US23003","Aroostook County, Maine","0.4502","0.0211"
"0500000US23005","Cumberland County, Maine","0.4578","0.0142"
"0500000US23011","Kennebec County, Maine","0.4472","0.0258"
"0500000US23019","Penobscot County, Maine","0.4442","0.0275"
"0500000US23031","York County, Maine","0.4128","0.0205"
"0500000US24001","Allegany County, Maryland","0.4264","0.0263"
"0500000US24003","Anne Arundel County, Maryland","0.4169","0.0131"
"0500000US24005","Baltimore County, Maryland","0.4606","0.0128"
"0500000US24009","Calvert County, Maryland","0.3790","0.0282"
"0500000US24013","Carroll County, Maryland","0.3942","0.0185"
"0500000US24015","Cecil County, Maryland","0.4434","0.0366"
"0500000US24017","Charles County, Maryland","0.3850","0.0304"
"0500000US24021","Frederick County, Maryland","0.3951","0.0159"
"0500000US24025","Harford County, Maryland","0.4053","0.0168"
"0500000US24027","Howard County, Maryland","0.4280","0.0174"
"0500000US24031","Montgomery County, Maryland","0.4639","0.0088"
"0500000US24033","Prince George's County, Maryland","0.3971","0.0083"
"0500000US24037","St. Mary's County, Maryland","0.4349","0.0491"
"0500000US24043","Washington County, Maryland","0.4439","0.0225"
"0500000US24045","Wicomico County, Maryland","0.4470","0.0352"
"0500000US24510","Baltimore city, Maryland","0.5124","0.0127"
"0500000US25001","Barnstable County, Massachusetts","0.4372","0.0173"
"0500000US25003","Berkshire County, Massachusetts","0.4647","0.0201"
"0500000US25005","Bristol County, Massachusetts","0.4638","0.0134"
"0500000US25009","Essex County, Massachusetts","0.4752","0.0097"
"0500000US25011","Franklin County, Massachusetts","0.4392","0.0295"
"0500000US25013","Hampden County, Massachusetts","0.4780","0.0143"
"0500000US25015","Hampshire County, Massachusetts","0.4326","0.0232"
"0500000US25017","Middlesex County, Massachusetts","0.4623","0.0070"
"0500000US25021","Norfolk County, Massachusetts","0.4750","0.0117"
"0500000US25023","Plymouth County, Massachusetts","0.4639","0.0271"
"0500000US25025","Suffolk County, Massachusetts","0.5266","0.0124"
"0500000US25027","Worcester County, Massachusetts","0.4496","0.0084"
"0500000US26005","Allegan County, Michigan","0.4018","0.0270"
"0500000US26017","Bay County, Michigan","0.4335","0.0205"
"0500000US26021","Berrien County, Michigan","0.4882","0.0294"
"0500000US26025","Calhoun County, Michigan","0.4461","0.0237"
"0500000US26037","Clinton County, Michigan","0.4215","0.0209"
"0500000US26045","Eaton County, Michigan","0.4018","0.0218"
"0500000US26049","Genesee County, Michigan","0.4593","0.0161"
"0500000US26055","Grand Traverse County, Michigan","0.4553","0.0502"
"0500000US26065","Ingham County, Michigan","0.4629","0.0157"
"0500000US26073","Isabella County, Michigan","0.4877","0.0271"
"0500000US26075","Jackson County, Michigan","0.4582","0.0329"
"0500000US26077","Kalamazoo County, Michigan","0.4687","0.0163"
"0500000US26081","Kent County, Michigan","0.4486","0.0156"
"0500000US26087","Lapeer County, Michigan","0.4101","0.0253"
"0500000US26091","Lenawee County, Michigan","0.4209","0.0318"
"0500000US26093","Livingston County, Michigan","0.4180","0.0215"
"0500000US26099","Macomb County, Michigan","0.4160","0.0091"
"0500000US26103","Marquette County, Michigan","0.4011","0.0262"
"0500000US26111","Midland County, Michigan","0.4588","0.0314"
"0500000US26115","Monroe County, Michigan","0.4412","0.0266"
"0500000US26121","Muskegon County, Michigan","0.4505","0.0261"
"0500000US26125","Oakland County, Michigan","0.4685","0.0080"
"0500000US26139","Ottawa County, Michigan","0.4150","0.0184"
"0500000US26145","Saginaw County, Michigan","0.4867","0.0322"
"0500000US26147","St. Clair County, Michigan","0.4237","0.0138"
"0500000US26155","Shiawassee County, Michigan","0.4136","0.0241"
"0500000US26159","Van Buren County, Michigan","0.4038","0.0252"
"0500000US26161","Washtenaw County, Michigan","0.4801","0.0150"
"0500000US26163","Wayne County, Michigan","0.4855","0.0078"
"0500000US27003","Anoka County, Minnesota","0.3895","0.0155"
"0500000US27013","Blue Earth County, Minnesota","0.4260","0.0306"
"0500000US27019","Carver County, Minnesota","0.4185","0.0271"
"0500000US27035","Crow Wing County, Minnesota","0.4204","0.0234"
"0500000US27037","Dakota County, Minnesota","0.4128","0.0143"
"0500000US27053","Hennepin County, Minnesota","0.4665","0.0083"
"0500000US27109","Olmsted County, Minnesota","0.4412","0.0233"
"0500000US27123","Ramsey County, Minnesota","0.4515","0.0153"
"0500000US27131","Rice County, Minnesota","0.4460","0.0373"
"0500000US27137","St. Louis County, Minnesota","0.4361","0.0145"
"0500000US27139","Scott County, Minnesota","0.4092","0.0259"
"0500000US27141","Sherburne County, Minnesota","0.3890","0.0321"
"0500000US27145","Stearns County, Minnesota","0.4218","0.0230"
"0500000US27163","Washington County, Minnesota","0.4437","0.0172"
"0500000US27171","Wright County, Minnesota","0.3653","0.0206"
"0500000US28033","DeSoto County, Mississippi","0.4018","0.0205"
"0500000US28035","Forrest County, Mississippi","0.4918","0.0455"
"0500000US28047","Harrison County, Mississippi","0.4567","0.0215"
"0500000US28049","Hinds County, Mississippi","0.4760","0.0275"
"0500000US28059","Jackson County, Mississippi","0.4700","0.0427"
"0500000US28067","Jones County, Mississippi","0.5166","0.0652"
"0500000US28075","Lauderdale County, Mississippi","0.5392","0.0590"
"0500000US28081","Lee County, Mississippi","0.4915","0.0421"
"0500000US28089","Madison County, Mississippi","0.4597","0.0275"
"0500000US28121","Rankin County, Mississippi","0.4166","0.0267"
"0500000US29019","Boone County, Missouri","0.4605","0.0234"
"0500000US29021","Buchanan County, Missouri","0.4590","0.0260"
"0500000US29031","Cape Girardeau County, Missouri","0.4630","0.0499"
"0500000US29037","Cass County, Missouri","0.4066","0.0240"
"0500000US29043","Christian County, Missouri","0.4368","0.0262"
"0500000US29047","Clay County, Missouri","0.3981","0.0240"
"0500000US29051","Cole County, Missouri","0.4255","0.0433"
"0500000US29071","Franklin County, Missouri","0.3973","0.0310"
"0500000US29077","Greene County, Missouri","0.4862","0.0230"
"0500000US29095","Jackson County, Missouri","0.4535","0.0105"
"0500000US29097","Jasper County, Missouri","0.4612","0.0383"
"0500000US29099","Jefferson County, Missouri","0.3813","0.0165"
"0500000US29165","Platte County, Missouri","0.4135","0.0225"
"0500000US29183","St. Charles County, Missouri","0.3880","0.0122"
"0500000US29187","St. Francois County, Missouri","0.4412","0.0494"
"0500000US29189","St. Louis County, Missouri","0.4927","0.0097"
"0500000US29510","St. Louis city, Missouri","0.4926","0.0165"
"0500000US30013","Cascade County, Montana","0.4342","0.0307"
"0500000US30029","Flathead County, Montana","0.4167","0.0294"
"0500000US30031","Gallatin County, Montana","0.4580","0.0320"
"0500000US30049","Lewis and Clark County, Montana","0.4683","0.0382"
"0500000US30063","Missoula County, Montana","0.4597","0.0314"
"0500000US30111","Yellowstone County, Montana","0.4817","0.0285"
"0500000US31055","Douglas County, Nebraska","0.4547","0.0125"
"0500000US31109","Lancaster County, Nebraska","0.4633","0.0171"
"0500000US31153","Sarpy County, Nebraska","0.3889","0.0215"
"0500000US32003","Clark County, Nevada","0.4749","0.0090"
"0500000US32031","Washoe County, Nevada","0.4674","0.0199"
"0500000US33005","Cheshire County, New Hampshire","0.4090","0.0268"
"0500000US33009","Grafton County, New Hampshire","0.4985","0.0243"
"0500000US33011","Hillsborough County, New Hampshire","0.4206","0.0149"
"0500000US33013","Merrimack County, New Hampshire","0.4196","0.0190"
"0500000US33015","Rockingham County, New Hampshire","0.4425","0.0188"
"0500000US33017","Strafford County, New Hampshire","0.4168","0.0280"
"0500000US34001","Atlantic County, New Jersey","0.5007","0.0277"
"0500000US34003","Bergen County, New Jersey","0.4675","0.0117"
"0500000US34005","Burlington County, New Jersey","0.4261","0.0121"
"0500000US34007","Camden County, New Jersey","0.4765","0.0183"
